neighbourhood,room_type,price
Kensington,Private room,149
Midtown,Entire home/apt,225
Harlem,Private room,150
Clinton Hill,Entire home/apt,89
East Harlem,Entire home/apt,80
Murray Hill,Entire home/apt,200
Bedford-Stuyvesant,Private room,60
Hell's Kitchen,Private room,79
Upper West Side,Private room,79
Chinatown,Entire home/apt,150
Upper West Side,Entire home/apt,135
Hell's Kitchen,Private room,85
South Slope,Private room,89
Upper West Side,Private room,85
West Village,Entire home/apt,120
Williamsburg,Entire home/apt,140
Fort Greene,Entire home/apt,215
Chelsea,Private room,140
Crown Heights,Entire home/apt,99
East Harlem,Entire home/apt,190
Williamsburg,Entire home/apt,299
Park Slope,Private room,130
Park Slope,Private room,80
Park Slope,Private room,110
Bedford-Stuyvesant,Entire home/apt,120
Windsor Terrace,Private room,60
Inwood,Private room,80
Hell's Kitchen,Entire home/apt,150
Inwood,Private room,44
East Village,Entire home/apt,180
Harlem,Private room,50
Harlem,Private room,52
Greenpoint,Private room,55
Harlem,Private room,50
Bedford-Stuyvesant,Private room,70
South Slope,Private room,89
Bedford-Stuyvesant,Private room,35
Bushwick,Entire home/apt,85
Flatbush,Private room,150
Lower East Side,Shared room,40
East Village,Private room,68
South Slope,Entire home/apt,120
Fort Greene,Private room,120
Upper West Side,Private room,135
Harlem,Entire home/apt,150
Prospect-Lefferts Gardens,Entire home/apt,150
Long Island City,Private room,130
Bedford-Stuyvesant,Entire home/apt,110
Bedford-Stuyvesant,Entire home/apt,115
Fort Greene,Private room,80
Bedford-Stuyvesant,Private room,80
Upper West Side,Entire home/apt,151
Williamsburg,Entire home/apt,228
Greenpoint,Entire home/apt,144
Kips Bay,Entire home/apt,200
Williamsburg,Entire home/apt,150
Lower East Side,Private room,110
Hell's Kitchen,Private room,69
Greenpoint,Private room,49
SoHo,Entire home/apt,180
Williamsburg,Private room,80
Chelsea,Entire home/apt,375
Upper East Side,Entire home/apt,250
Prospect Heights,Entire home/apt,200
Clinton Hill,Private room,55
Hell's Kitchen,Private room,52
Park Slope,Entire home/apt,225
East Village,Private room,80
Williamsburg,Entire home/apt,275
East Village,Private room,99
East Harlem,Entire home/apt,225
East Village,Entire home/apt,230
Hell's Kitchen,Private room,51
Washington Heights,Private room,65
Clinton Hill,Private room,105
East Village,Entire home/apt,190
Upper East Side,Private room,200
Woodside,Private room,70
Fort Greene,Private room,95
Chelsea,Private room,150
Williamsburg,Private room,145
Harlem,Entire home/apt,110
Lower East Side,Entire home/apt,285
Flatbush,Entire home/apt,130
Lower East Side,Private room,94
Brooklyn Heights,Entire home/apt,800
Williamsburg,Entire home/apt,105
East Village,Private room,60
East Village,Private room,50
Williamsburg,Private room,85
Bushwick,Private room,65
Prospect Heights,Entire home/apt,131
Clinton Hill,Private room,98
Prospect Heights,Entire home/apt,250
Williamsburg,Entire home/apt,100
Bushwick,Entire home/apt,105
Upper West Side,Entire home/apt,140
Harlem,Private room,89
Chelsea,Private room,98
Bedford-Stuyvesant,Entire home/apt,125
Harlem,Private room,60
Carroll Gardens,Entire home/apt,175
Washington Heights,Private room,65
