,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
0,2384,"Hyde Park - Walk to UChicago, 10 min to McCormick",2613,Rebecca,Hyde Park,41.7879,-87.5878,Private room,60,2,178,2019-12-15,353
1,4505,394 Great Reviews. 127 y/o House. 40 yds to train.,5775,Craig & Kathleen,South Lawndale,41.85495,-87.69696,Entire home/apt,105,2,395,2020-07-14,155
2,7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,West Town,41.90289,-87.68182,Entire home/apt,60,2,384,2020-03-08,321
3,9811,Barbara's Hideaway - Old Town,33004,At Home Inn,Lincoln Park,41.91769,-87.63788000000002,Entire home/apt,65,4,49,2019-10-23,300
4,10610,3 Comforts of Cooperative Living,2140,Lois,Hyde Park,41.79612,-87.59261,Private room,21,1,44,2020-02-14,168
5,10945,The Biddle House (#1),33004,At Home Inn,Lincoln Park,41.91183,-87.64,Entire home/apt,115,4,19,2020-08-06,325
6,12068,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,Near North Side,41.90452,-87.6332,Entire home/apt,99,5,9,2019-01-14,316
7,12140,Lincoln Park Guest House,46734,Sharon And Robert,Lincoln Park,41.92335,-87.64950999999998,Private room,289,2,4,2018-10-17,179
8,22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,West Town,41.89617,-87.66041,Entire home/apt,99,91,9,2014-10-12,365
9,24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,Lincoln Park,41.92679,-87.65521,Entire home/apt,112,32,37,2018-07-29,180
10,25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,Lincoln Park,41.92693,-87.65753000000002,Entire home/apt,75,32,47,2020-05-11,62
11,28749,"Sanitized, Huge, Quirky Bucktown Loft + Parking",27506,Laurie,Logan Square,41.92083,-87.6801,Entire home/apt,94,2,60,2020-09-07,332
12,37738,Andersonville - Perfect location!,162364,Mat And Randy,Uptown,41.97385,-87.66539,Private room,77,3,250,2020-03-15,223
13,39742,Central guestroom! Walk everywhere!,170758,Eric,Near North Side,41.89377,-87.63465,Private room,75,2,500,2019-09-30,0
14,44020,2 Bed MCM 1 Block to Fullerton Red line L & Garage,101521,Red,Lincoln Park,41.92673,-87.65731,Entire home/apt,95,32,52,2019-09-01,206
15,71930,"Rest, Relax and Explore",334241,Michael And Veronica,West Town,41.89615,-87.67934,Private room,65,3,70,2020-07-09,178
16,79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,Uptown,41.96792,-87.65756999999998,Private room,157,2,151,2020-07-05,363
17,84042,The Explorer Room,334241,Michael And Veronica,West Town,41.89615,-87.67934,Private room,50,3,78,2020-08-20,314
18,110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,Uptown,41.9693,-87.65621,Private room,99,2,149,2020-07-19,363
19,126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,Uptown,41.96852,-87.65225,Private room,35,3,162,2020-03-08,138
20,145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,North Center,41.94342,-87.68121,Entire home/apt,197,2,31,2020-09-07,361
21,145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,Lincoln Park,41.91289,-87.63864000000002,Entire home/apt,279,2,52,2020-09-05,355
22,165952,"Two Bedroom, One Bathroom Apartment",791089,Conrad,Lake View,41.94274,-87.67321,Entire home/apt,198,3,60,2019-10-21,364
23,166667,Cozy Garden Studio,791089,Conrad,North Center,41.94274,-87.67378000000002,Entire home/apt,125,3,88,2019-10-19,365
24,166706,"Three Bedroom, Two Bathroom Combo Apartment",791089,Conrad,Lake View,41.94221,-87.67327,Entire home/apt,280,3,22,2019-06-03,365
25,175511,1BR/1BA Suite in Chicago (3709-G1),837429,Petru,Irving Park,41.96012,-87.72158,Entire home/apt,79,28,33,2019-12-16,346
26,184764,Room w/private bath -kid friendly,886362,Julie,Portage Park,41.94325,-87.75403,Private room,85,3,162,2019-11-28,324
27,189821,"Best in Chicago, private, amazing garden space",899757,Meighan,Logan Square,41.92918,-87.70219,Entire home/apt,201,3,506,2020-09-12,134
28,198135,Darling Damen Dwelling (with bike if you like),85708,Sarah,North Center,41.95935,-87.67963,Private room,30,3,173,2020-08-29,89
29,207218,Historic Pullman Artist Flat - Artists & Explorers,1019125,Jb,Pullman,41.6883,-87.60892,Entire home/apt,90,1,269,2020-04-11,289
30,207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,Pullman,41.68909,-87.6088,Entire home/apt,39,30,39,2017-11-10,107
31,221109,1 Bedroom Apartment -Noble Square,1146738,Zeyna,West Town,41.89273,-87.65654,Entire home/apt,99,20,112,2019-10-15,0
32,225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,Logan Square,41.92543,-87.69593,Private room,79,2,20,2019-10-14,358
33,230836,Huge Bedroom with pvt marble bath,1185573,Graz Anton,Uptown,41.96331,-87.66088,Private room,125,365,5,2018-06-20,0
34,233933,BROWN ROOM - WALK TO TRAIN TO O'HARE/DOWNTOWN,1224828,Tippi,Irving Park,41.95602,-87.72780999999998,Private room,55,7,153,2020-02-16,179
35,248791,Quiet Bedroom/ARAGON/Train,272671,Two For The Road,Uptown,41.96797,-87.65791,Private room,93,2,97,2020-02-19,363
36,250354,Close to Michigan Ave and parks,1311953,Ronald,Near South Side,41.86051,-87.62399,Entire home/apt,170,180,39,2018-04-25,358
37,258253,Studio Apartment Unit 4,1358243,June,West Ridge,42.00692,-87.68438,Entire home/apt,48,32,20,2020-04-01,344
38,261509,You'll love Chicago! Guaranteed!,858008,Kassie,Near North Side,41.90314,-87.63494,Entire home/apt,119,32,62,2018-11-20,364
39,264547,Steps From the Best Chicago Offers,1387948,Dominic,Near West Side,41.88467,-87.64487,Entire home/apt,204,10,65,2019-08-11,362
40,267299,Family Style Home-walk to Aragon/Riviera,272671,Two For The Road,Uptown,41.96924,-87.65807,Entire home/apt,764,1,22,2019-01-06,0
41,267646,Logan Square Classic Bungalow,1313038,Mark,Logan Square,41.92716,-87.70470999999998,Private room,103,2,139,2019-10-20,264
42,275496,Downtown 3BR/2BA Loft & Amazing River View,1142145,Jim,Near West Side,41.88623,-87.6404,Entire home/apt,156,360,10,2014-11-08,364
43,289689,"30 Day+ Med student, interns & interim stays.",1376077,Killian,Edgewater,41.97794,-87.65764,Private room,26,30,61,2020-03-20,332
44,289884,"Sunny Home w/ Private Bathroom, Parking, Laundry",1500490,Hailey,Logan Square,41.92063,-87.68353,Private room,145,1,84,2019-10-28,365
45,290155,15 Minutes to Everything.  Skyline View. Quiet.,1505878,Bob,Bridgeport,41.82702000000001,-87.63967,Entire home/apt,130,3,50,2020-03-17,0
46,298321,nice room with king size bed,1537881,Marko,Woodlawn,41.78216,-87.59026999999998,Private room,47,2,46,2019-09-28,365
47,312192,Winter Specials. You'll love this apartment.,1505878,Bob,Bridgeport,41.82741,-87.63934,Entire home/apt,146,4,39,2020-03-15,0
48,313227,WHOLE PRIVATE FLOOR near Train,259284,Cheryl,Albany Park,41.96331,-87.70916,Entire home/apt,85,3,47,2017-07-17,268
49,345075,"Spacious, Vintage Hyde Park Apt.",1746524,Patricia,Kenwood,41.8077,-87.59436,Private room,85,2,232,2019-10-29,355
50,350347,"Luxury Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,Jay & Elisa,Lake View,41.93986,-87.65473,Entire home/apt,128,3,499,2020-09-06,313
51,372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,The Adventurers,West Town,41.89862,-87.65597,Entire home/apt,178,2,215,2020-08-08,360
52,404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,West Town,41.88913,-87.66763,Entire home/apt,105,5,189,2020-08-08,2
53,446474,Vintage Ukrainian Village Apt!,2217180,Yuri,West Town,41.90095,-87.68181,Entire home/apt,175,3,4,2015-08-15,365
54,450648,Luxury Space - Come & Relax,2204693,Dl,Near South Side,41.86614,-87.62275,Private room,119,3,38,2018-06-21,263
55,464581,"Large, Private Logan Square Studio",2308792,Jonathan,Logan Square,41.92451,-87.69385,Entire home/apt,60,2,629,2020-09-17,127
56,479086,Hostel Earphoria,337459,Earphoria,Avondale,41.93245,-87.71528,Shared room,25,1,180,2020-03-08,0
57,484898,Charming 1906 cottage Northside,2400107,Allison,Uptown,41.97053,-87.67267,Entire home/apt,232,3,14,2018-06-11,0
58,496809,"Spacious Room with plush King Bed, Rogers Park",2453507,Estelle,Rogers Park,42.00435,-87.67501,Private room,86,3,36,2018-08-28,364
59,507517,Private Lincoln Square Garden Apt,2501182,Nate,Lincoln Square,41.96714,-87.69611,Entire home/apt,98,3,287,2020-09-08,174
60,537419,Groovy on the Lake  private bd/bth,919011,Jacqueline,Lake View,41.94286,-87.63919,Private room,130,1,28,2015-10-20,365
61,542067,Logan Square Modern Vintage Garden,2273840,Sarah,Logan Square,41.93142,-87.69989,Entire home/apt,132,3,260,2019-12-29,263
62,544261,Chicago Lakefront Sailing Yacht,2189245,Daniel,Near South Side,41.85467,-87.61417,Entire home/apt,495,2,28,2015-07-16,365
63,548905,Home Away From Home,2698691,Leo,Grand Boulevard,41.82293,-87.61559,Entire home/apt,89,2,227,2020-02-09,355
64,573540,Drop-dead fab on the Lake  2bd/2bth,919011,Jacqueline,Lake View,41.94284,-87.63919,Entire home/apt,490,1,35,2015-09-21,365
65,585353,Great neighborhood! Price Drop *,2885441,Tracy,West Town,41.88961,-87.66268000000002,Private room,57,1,127,2020-01-20,263
66,585356,"Price Drop! Great Deal, Great area!",2885441,Tracy,West Town,41.89003,-87.66241,Private room,78,1,143,2020-03-08,349
67,589939,"Recent Price Drop, awesome area!",2885441,Tracy,West Town,41.89054,-87.66261,Shared room,69,1,66,2020-02-17,364
68,611839,"Stylish, comfortable room in nice Duplex",3034693,Daniela,North Center,41.93537,-87.67945999999998,Private room,43,7,161,2020-04-30,0
69,628149,Great for Students! Affordability+Location,2885441,Tracy,West Town,41.89056,-87.66086,Private room,63,1,97,2020-09-01,323
70,634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,Edgewater,41.99667,-87.66213,Private room,66,2,82,2020-07-31,305
71,640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,Lake View,41.94242,-87.67134,Entire home/apt,180,4,53,2020-08-31,119
72,642053,Large Double Queen Studio Apartment in Wicker Park,81779,Laura,West Town,41.90567,-87.67311,Hotel room,160,2,11,2020-03-08,0
73,642065,3 Bedroom Apartment in Historic Wicker Park Home,81779,Laura,West Town,41.90686,-87.67319,Private room,142,2,40,2020-08-13,0
74,651742,Edgebrook Lg bdr by golf course,2824576,Jeff,Forest Glen,41.99244,-87.75569,Private room,60,3,66,2019-10-15,363
75,662034,Edgebrook bdr by golf course,2824576,Jeff,Forest Glen,41.99201,-87.75719000000002,Private room,50,3,66,2020-02-15,364
76,681842,Bedrm/Bath - Swanky Northside Condo.,3472696,Roxane,West Ridge,41.99348,-87.68121,Private room,50,3,26,2019-10-16,358
77,697634,"2 BD Condo by downtown,park,lake",3574415,Marv,Near North Side,41.90302,-87.63499,Entire home/apt,85,30,150,2019-12-20,0
78,724895,Close to Chicago music Fest! (Students discount),2885441,Tracy,West Town,41.88999,-87.66096,Private room,39,1,131,2020-07-02,263
