,name,latitude,longitude,price,minimum_nights
40,Family Style Home-walk to Aragon/Riviera,41.96924,-87.65807,764,1
62,Chicago Lakefront Sailing Yacht,41.85467,-87.61417,495,2
64,Drop-dead fab on the Lake  2bd/2bth,41.942840000000004,-87.63919,490,1
123,Lincoln Park Single Family Home,41.92913,-87.66920999999998,511,2
135,The Biddle House (WHOLE HOUSE),41.91406,-87.63934,401,4
141,The Historic Florsheim Mansion,41.90697,-87.62941,354,2
215,"11 Beds in 5*House TRAIN,CUBS, BEACH.RIVERA ARAGON",41.96821,-87.65626,975,2
253,LOFT606:  Gigantic Sunlit Former Factory Home,41.91704,-87.69375,1157,2
257,The Roscoe House near Wrigley Field,41.94313,-87.65613,386,3
266,Welcome to your 2BD Penthouse,41.93755,-87.66932,650,2
270,Brewers & Reds  vs Cubs Wrigleyville - 3 bdrms,41.94328,-87.6487,375,1
317,Private Room,41.91842000000001,-87.67367,500,1
330,"Incredible Lake Views!
Steps from Navy Pier & MP",41.89581,-87.61683000000002,377,3
362,Adjoining Loft Apartments,41.91755,-87.63592,800,1
373,3BD Suite with Fireplace @ The Guesthouse Hotel,41.97095,-87.66798,416,2
379,"3BD, 2BA Hotel Suite -Fireplace",41.97085,-87.66695,999,2
408,❤️ Cozy studio ❤️ only 1/2 block from Wrigley :),41.94706,-87.65888000000002,1576,30
409,Historic Logan Square Home w/ 3 Ensuite Bathrooms!,41.92845,-87.71325,427,2
424,Wrigleyville/Lakeview Luxury Condo,41.9425,-87.65234,1232,3
442,2BD Suite @The Guesthouse Hotel (2),41.971059999999994,-87.66776999999998,399,3
445,Perfect Family-friendly house,41.9573,-87.68006,450,3
498,Boutique Design Condo with Rooftop Terrace,41.94197,-87.64853000000002,428,1
501,Duplex Apartment 4 bd 3 bath + Yard,42.00232000000001,-87.66686,395,3
517,Beautiful Chicago Bungalow,41.94097,-87.68647,425,2
550,Celebracio`n Special Events,41.81922,-87.61498,543,1
573,"Walk to Wrigley Huge 3 BED, 4 BATH with 2400 sq ft",41.93848,-87.65100000000002,425,2
589,Lights!Camera!Action!Cool! Take #3,41.89038,-87.68219,429,1
605,SPACIOUS DUPLEX WITH NEW KITCHEN AND PATIO!,41.95129,-87.6713,371,2
