,name,latitude,longitude,price,minimum_nights
85,perfect for a family or small group,40.69723,-73.99268000000001,800,1
496,Luxury 2Bed/2.5Bath Central Park View,40.7735,-73.98697,2000,30
662, Heart & Soul of Greenwich Village ,40.73129,-73.99944,850,3
691,Luxury Chelsea Townhouse at the High Line,40.74599,-74.00253000000001,760,2
762,6 Bedroom Landmark West Village Townhouse,40.73301,-74.00268,1300,5
780,#1 Yellow Block BnB/see at Net Flix Show Stay Here,40.68492,-73.95489,800,4
946,Beautiful 3 bedroom in Manhattan,40.80142,-73.96931,3000,7
1105,$ (Phone number hidden by Airbnb) weeks - room f,40.72152,-73.99279,1300,1
1201,Your own townhouse in Bklyn Heights,40.69964,-73.99299,800,3
1414,Luxury 1Bed with Central Park Views,40.77428,-73.98594,1000,30
1480,Lux 2Bed/2.5Bath Central Park Views,40.77516,-73.98573,2000,30
1553,UWS renovated 2bedroom 2bath near everything.,40.79507,-73.97568000000001,900,1
1862,"Sunny, Family-Friendly 2 Bedroom",40.679190000000006,-73.97191,4000,4
1899,Spacious Centrally Located Apt!!!,40.7466,-73.99219000000001,999,10
1910,A Little Palace in Brooklyn for Shoots and Events,40.70234,-73.92424,800,1
2018,Architecturally Stunning Former Synagogue!,40.72668,-73.98179,2500,30
2040,"charming luxurious house, NY, Brooklyn",40.6734,-73.97657,890,3
2155,West Village Gem - Amazing Location,40.73464,-74.00225,950,3
2215,Tribeca Loft w/ Private Elevator,40.720079999999996,-74.0043,1000,1
2236,Beautiful eco triplex w/green roof. Free yoga/spa.,40.67881,-73.99379,1395,1
2355,Luxury 1 Bedroom Central Park Views,40.79208,-73.96481999999999,1000,30
2356,RUSTIC/MODERN/EV/NYC,40.73032,-73.98469,750,3
2386,Spacious 2 bedroom near Times Sq,40.7593,-73.99143000000001,1000,1
2520,"Marcel the Shell with Shoes On or Off, Whatever",40.69424,-73.99313000000001,1500,1
2523,West Village Penthouse-terrace/view,40.73305,-74.00412,1899,7
2618,Special Rate Luxury 2bd/2bth Apt W. Village,40.73268,-74.00314,800,1
2698,Beautiful 1 Bedroom in Nolita/Soho ,40.72193,-73.99379,5000,1
2772,Beautiful Lower East Side Penthouse,40.730509999999995,-73.99518,1100,2
2896,"4BD, 2 Bath Apt Flatiron on 6th Ave",40.74096,-73.9927,1200,1
3055,Huuuge Sunny Central Park REAL 2 bedroom 1.5 baths,40.763909999999996,-73.9782,799,6
3131,Carol,40.72898,-73.98051,1700,1
3240,3 Story Brooklyn House - Sleeps 10!,40.69356,-73.96744,750,3
3306,Huge Loft with Private Entrance,40.728229999999996,-73.98933000000001,1999,1
3333,Luxury 4 BD NYC Times Sq Apartment,40.76316,-73.98109000000001,1500,1
3345,UWS MANHATTAN APT FOR SUPERBOWL WE,40.793209999999995,-73.9694,1000,1
3365,W Village Luxury Apt. (Super Bowl),40.739670000000004,-74.00933,850,3
3420,Sunny Apartment in West Village,40.73187,-74.00865,1000,3
3435,West Village Apt steps to Path,40.732459999999996,-74.00854,800,1
3537,UWS 1BR w/backyard + block from CP,40.77782,-73.97848,6000,14
3575,"Super Bowl, 2 bdrm, UWS apartment ",40.794779999999996,-73.97474,900,1
3594,Super Bowl Rental 2BR in Soho,40.72615,-74.00123,900,1
3597,"SUPERBOWL!! 2 Bd, 2 Ba w Roof Deck!",40.72767,-73.98825,850,1
3598,1500 sq ft apt sleeps 8 - SuperBowl,40.73545,-73.98238,2000,1
3601,Superbowl Studio Upper West Side,40.79752,-73.96298,750,3
3622,Lower Park Avenue Pre War,40.74855,-73.98001,2000,1
