,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
0,241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,47.636289038357184,-122.37102519997765,Entire home/apt,$85.00,1,207,2016-01-02,346
1,953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,Queen Anne,47.63912312136253,-122.36566646439582,Entire home/apt,$150.00,2,43,2015-12-29,291
2,3308979,New Modern House-Amazing water view,16708587,Jill,Queen Anne,47.629724131577355,-122.3694831756176,Entire home/apt,$975.00,4,20,2015-09-03,220
3,7421966,Queen Anne Chateau,9851441,Emily,Queen Anne,47.63847320176642,-122.36927912263019,Entire home/apt,$100.00,1,0,,143
4,278830,Charming craftsman 3 bdm house,1452570,Emily,Queen Anne,47.63291840276724,-122.37247063402224,Entire home/apt,$450.00,1,38,2015-10-24,365
5,5956968,Private unit in a 1920s mansion,326758,Andrew,Queen Anne,47.630525482401936,-122.36617406518856,Private room,$120.00,1,17,2015-09-28,302
6,1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,Queen Anne,47.636605445320065,-122.36851905844937,Private room,$80.00,3,58,2015-12-07,346
7,856550,Tiny Garden cabin on Queen Anne  ,4016632,Jean-Marc,Queen Anne,47.640160541214655,-122.37585597885769,Private room,$60.00,2,173,2016-01-01,100
8,4948745,Urban Charm || Downtown || Views,2166277,Aliza,Queen Anne,47.632410299829,-122.35721606914028,Private room,$90.00,3,8,2015-08-17,341
9,2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,Queen Anne,47.63749172022628,-122.3668885909212,Entire home/apt,$150.00,2,32,2015-12-20,324
10,175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,Queen Anne,47.63548170841016,-122.35847776162176,Entire home/apt,$95.00,3,181,2015-11-25,153
11,4454295,Upper Queen Anne Craftsman House,4606439,Nadia,Queen Anne,47.63721407513561,-122.36004576141458,Entire home/apt,$99.00,3,8,2015-12-16,229
12,3883392,Open Plan 2bdr/1bath in Queen Anne,19932967,Pat & Roberta,,47.6355455115124,-122.37317075183506,Entire home/apt,$245.00,3,13,2015-10-02,362
13,8889257,Elegance in Historic Queen Anne,25899989,Ellie,Queen Anne,47.629506809234314,-122.3676292967417,Entire home/apt,$165.00,2,3,2016-01-02,337
14,5680462,Stunning 6 bd in THE BEST Location!,22372266,Sarah,Queen Anne,47.63920265551509,-122.36586274154313,Entire home/apt,$461.00,3,18,2015-11-15,327
15,8988178,"Lovely Queen Anne Cottage, 2 BR",2983711,Paige,,47.63564979343857,-122.37289282480928,Entire home/apt,$109.00,3,1,2015-11-25,69
16,3245876,Park Life in Lower Queen Anne,9465817,Libby,Queen Anne,47.626200373817085,-122.36660192617585,Private room,$66.00,1,84,2016-01-02,364
17,4933447,"Private Garden Suite, Bay View",25417834,Markus And Melissa,Queen Anne,47.64064587578452,-122.37240588895551,Private room,$99.00,2,45,2015-11-06,171
18,7735464,Queen Anne Getaway Near Seattle!,6170760,Sam,Queen Anne,47.63977587341085,-122.37223535879995,Private room,$200.00,1,0,,125
19,6291829,Grand Craftsman Home on Queen Anne,32713558,Kary,Queen Anne,47.63602477658138,-122.35869359564735,Entire home/apt,$700.00,3,5,2015-08-10,359
20,9218403,Queen Anne View One Bedroom,14100483,Annie,,47.62794033813239,-122.36495872243864,Entire home/apt,$110.00,1,1,2016-01-03,360
21,4125779,Cozy Queen Anne Finished Basement,21401856,Nick,Queen Anne,47.63637426223885,-122.36103343324051,Private room,$99.00,1,11,2015-10-18,365
22,8942678,Lovely Queen Anne home,46675077,Susanna,Queen Anne,47.63563222417987,-122.35888090262146,Entire home/apt,$450.00,4,1,2015-12-01,53
23,10106055,"Cozy Lower Level, Upper Queen Anne",51860756,Maggie & Alex,Queen Anne,47.633393957777855,-122.37191994372273,Private room,$75.00,1,0,,365
24,6362362,Charming home on Queen Anne,33147763,Tracy,Queen Anne,47.63851671212965,-122.36958103291498,Entire home/apt,$600.00,3,1,2015-07-20,212
25,3544550,VIEW-Monthly Rental Available,16708587,Jill,Queen Anne,47.63139734518299,-122.36776687067899,Entire home/apt,$450.00,4,8,2015-09-02,293
26,9025039,Cute Bungalow-Close to Everything!,68155,Lori,Queen Anne,47.63875224201261,-122.36797266885502,Entire home/apt,$150.00,1,0,,49
27,3200646,Micro Gypsy Wagon on Queen Anne,4016632,Jean-Marc,Queen Anne,47.639266020260955,-122.37472581108143,Private room,$45.00,2,80,2016-01-02,107
28,8859380,STUNNING VIEW of Puget Sound,3792761,Kimberly,Queen Anne,47.62990711611138,-122.36894813824877,Entire home/apt,$300.00,2,6,2016-01-02,356
29,4520099,Open Airy Queen Anne Condo,6184895,Lana,Queen Anne,47.63981586823574,-122.37433846349177,Entire home/apt,$80.00,2,4,2015-07-25,305
30,2481869,Airy + Bright Queen Anne Cottage,5177328,Andrea,Queen Anne,47.63900777818944,-122.36532007300232,Entire home/apt,$175.00,2,38,2015-10-11,323
31,1110749,Queen Anne 3 bed near everything,5325329,Blair,Queen Anne,47.63508504491007,-122.36444347330422,Entire home/apt,$325.00,2,68,2015-12-21,162
32,5978498,1914 Stunner View Ocean Mountain,31037494,Silvia,Queen Anne,47.640633234573535,-122.37270939338377,Entire home/apt,$175.00,4,8,2015-12-03,213
33,5021081,Seattle Queen Anne Beauty,25906186,Vacation,Queen Anne,47.63812148697112,-122.37578997278469,Entire home/apt,$222.00,2,5,2015-11-12,2
34,1686930,The Hideaway- Queen Anne/downtown,8916363,Paige,Queen Anne,47.62981553345286,-122.36621233485974,Entire home/apt,$159.00,1,62,2015-12-07,309
35,7680289,QUEEN ANNE VIEW ONE! - SEATTLE,40335071,Kevin,Queen Anne,47.63981018787381,-122.37380062876858,Entire home/apt,$125.00,2,19,2015-11-29,353
36,7207641,"URBAN SANCTUARY, 3BR, QUEEN ANNE",6544973,Joe & Anna,Queen Anne,47.63556952470362,-122.36165259464241,Entire home/apt,$348.00,3,5,2015-09-03,153
37,5062445,Cozy Homebase Close to Downtown,21072725,Chris,Queen Anne,47.63497873047923,-122.35886941246471,Private room,$45.00,1,7,2015-12-08,363
38,8925878,VIEW QUEEN ANNE! - VINTAGE SEATTLE,40335071,Kevin,Queen Anne,47.63936210298089,-122.37240255654484,Entire home/apt,$150.00,2,2,2015-12-18,351
39,6389657,Cute little Seattle Studio!,2052160,Ruth,Queen Anne,47.634616284308606,-122.3580227325536,Entire home/apt,$80.00,3,11,2015-08-19,201
40,4218733,Walker's Dream on Queen Anne Hill,21896205,Henry,Queen Anne,47.63800137747845,-122.36100481691408,Entire home/apt,$110.00,2,71,2016-01-01,351
41,2715623,"DARLING VINTAGE COTTAGE, QUEEN ANNE",8242272,Debera,Queen Anne,47.63199585097701,-122.3716576650487,Entire home/apt,$148.00,3,9,2015-10-29,310
