,name,latitude,longitude,price,minimum_nights
2,New Modern House-Amazing water view,47.62972413,-122.36948319999999,975,4
4,Charming craftsman 3 bdm house,47.6329184,-122.3724706,450,1
12,Open Plan 2bdr/1bath in Queen Anne,47.63554551,-122.37317079999998,245,3
14,Stunning 6 bd in THE BEST Location!,47.63920266,-122.36586270000001,461,3
19,Grand Craftsman Home on Queen Anne,47.63602478,-122.3586936,700,3
22,Lovely Queen Anne home,47.63563222,-122.35888090000002,450,4
24,Charming home on Queen Anne,47.63851671,-122.36958100000001,600,3
25,VIEW-Monthly Rental Available,47.63139735,-122.36776689999999,450,4
28,STUNNING VIEW of Puget Sound,47.62990712,-122.3689481,300,2
31,Queen Anne 3 bed near everything,47.63508504,-122.36444350000001,325,2
33,Seattle Queen Anne Beauty,47.63812149,-122.37579,222,2
36,"URBAN SANCTUARY, 3BR, QUEEN ANNE",47.63556952,-122.36165259999999,348,3
42,Modern Eco-Friendly View Retreat,47.63868624,-122.37079990000001,350,2
46,Queen Anne Craftsman,47.63539394,-122.36899109999999,349,1
58,Beautiful West Queen Anne Craftsman,47.63532192,-122.36612109999999,400,2
67,Plum Modern - 5 bdrm Tranquility,47.67362807,-122.389302,465,3
91,Chic 3 bed 4 bath Ballard townhome,47.67553327,-122.376324,218,14
95,Modern family home in Old Ballard,47.67097576,-122.3878253,225,2
97,Ballard Townhome - Pet Friendly!,47.67100489,-122.3813814,225,3
102,Ballard Townhouse Near The Locks,47.67039453,-122.393897,375,1
122,Foodie Paradise near DT Seattle ,47.67145807,-122.3791745,224,3
125,Plum House - 4 bdrm Ballard luxury,47.67397129,-122.38938049999999,338,3
141,Modern 3BR Freestanding Townhouse,47.66583687,-122.37013229999998,350,1
142,Brand-New 3BR/3BA Home w/ Roof-View,47.67433308,-122.37567800000001,295,2
146,Ballard Bungalow,47.66879475,-122.3616125,225,1
158,Gorgeous 4BR 2.5BA Townhome+Balcony,47.67274336,-122.37319450000001,275,1
162,Walkable Seattle 3-bedroom Home ,47.66686785,-122.36403130000001,225,1
181,Spacious Home in Phinney/Ballard ,47.67357118,-122.3642743,350,3
184,Craftsman Charmer w/ Stunning Views,47.66624017,-122.36091770000002,435,2
185,3BR Sunny Ballard House,47.67091242,-122.36559950000002,250,2
195,"Clean, Spacious, Seattle 3-bedroom!",47.66525243,-122.3619207,275,1
205,Hilltop House - 3 Bd Great Location,47.63152636,-122.3562828,250,2
